c_02	c_1	c_2	c_3	c_4	t_1
1177500984313898207	14771401151246747869	15522752849713656604	11285758582461727578	3749581593251313035	1511205743217
13512439747874593025	14771401151246747869	17570567099058771210	1380988313069126961	8386389002440712090	1510791325347
9703379626712729255	14771401151246747869	13925463506339432804	13064374487915183079	12178632648159032351	1510778677240
3032246689695762533	14771401151246747869	3666581862541892776	10094732775563391999	9712538623179612991	1511031468313
11803236205771353291	14771401151246747869	3071893364734863455	3644727946432331242	13063420908343408112	1510702213415
15070088201508787600	14771401151246747869	9250149903130375486	11285758582461727578	3749581593251313035	1511158892239
5326466713562981328	14771401151246747869	14359315840009962698	13064374487915183079	8386389002440712090	1510512171272
17066165418518787637	14771401151246747869	12899694956171511133	11285758582461727578	3749581593251313035	1511120241271
4403383767952529946	14771401151246747869	16083835679070190327	11285758582461727578	11072573334190504631	1511204441457
17270031926744315982	14771401151246747869	11674968523990014344	11285758582461727578	3749581593251313035	1510626108432
7227600235562194996	14771401151246747869	6392871633075145009	11285758582461727578	18244986807144649004	1510783135155
8970684380270094922	14771401151246747869	17837874859848746594	11285758582461727578	3749581593251313035	1510683687322
6904443750395473544	14771401151246747869	7281231220665448075	13064374487915183079	13063420908343408112	1510810743317
4445397262786207025	14771401151246747869	1817987410715644424	3644727946432331242	13063420908343408112	1511127438229
9377209325986291064	14771401151246747869	5456583901022837959	13064374487915183079	8386389002440712090	1510954881436
7505952692439266345	14771401151246747869	11322578779778904535	1380988313069126961	8386389002440712090	1510784514351
7298585421408191730	14771401151246747869	12179606102411133686	4333393905363336546	3749581593251313035	1511057207180
9712727693554055232	14771401151246747869	5373231040477899676	10094732775563391999	5811138887350930418	1511054952170
8665401542692212193	14771401151246747869	11284501404302198401	13064374487915183079	8594277609999955962	1511122833150
6770111507316883957	14771401151246747869	8618289589113296049	1380988313069126961	15901097786019369221	1510510282313
6300465537319939598	14771401151246747869	17527596320717960248	1380988313069126961	8386389002440712090	1510854750232
3380500030208105871	14771401151246747869	15885927586393852310	10094732775563391999	8386389002440712090	1510531390256
16033563457786137118	14771401151246747869	18261250034132368232	10094732775563391999	3241388764244219388	1510527460273
4206936948470492591	14771401151246747869	5694595587046991461	1380988313069126961	3749581593251313035	1510782298165
18152646531494022578	14771401151246747869	6846002248312708449	13064374487915183079	13063420908343408112	1510711839300
13531285671697543541	14771401151246747869	9796026965142872168	11285758582461727578	15901097786019369221	1511049562386
11750010311976318865	14771401151246747869	323009882326537499	11285758582461727578	12178632648159032351	1510798897293
6021828215543585308	14771401151246747869	11521987281882606260	10094732775563391999	12503043016275546053	1511036352168
3092452597814765263	14771401151246747869	6520743269268588228	10094732775563391999	14738979299495365534	1510896281428
17078193223669626847	14771401151246747869	1244055327410657529	11285758582461727578	17624764762211183095	1510804163324
17024151923685306870	14771401151246747869	5381219889942379067	1380988313069126961	15901097786019369221	1511198902254
3207737017360434718	14771401151246747869	17342170954004478894	13064374487915183079	8386389002440712090	1510698114155
8625233356919557593	14771401151246747869	2524903772206883381	3644727946432331242	13063420908343408112	1511141379181
15981083305096446391	14771401151246747869	14979720890267019945	4333393905363336546	3749581593251313035	1510857661395
16607830521760303760	14771401151246747869	7895015183937909033	4333393905363336546	3749581593251313035	1511132139370
16571755594865831931	14771401151246747869	17019986531373536417	10094732775563391999	9186336969896257796	1510957824284
2808480843095718936	14771401151246747869	5928138211285812661	1380988313069126961	12503043016275546053	1511219039322
12840416281933899822	14771401151246747869	11226011776174422701	1380988313069126961	8386389002440712090	1510889931330
10684139214261761208	14771401151246747869	2720380160072926229	4333393905363336546	3749581593251313035	1510687107456
4450187851156539593	14771401151246747869	5694595587046991461	1380988313069126961	3749581593251313035	1511132471468
18392161761402606934	14771401151246747869	9978875980536864603	1380988313069126961	8386389002440712090	1511229575273
5019498543077356571	14771401151246747869	3901531487431794610	13064374487915183079	15901097786019369221	1511124071300
11890014723244556145	14771401151246747869	2665980829643081782	10094732775563391999	5811138887350930418	1511209572300
14984254133930986709	14771401151246747869	5834925154019531476	4333393905363336546	3749581593251313035	1510801637278
2616199136896070200	14771401151246747869	9554451187740324785	4333393905363336546	3749581593251313035	1510621513217
11482328416518619945	14771401151246747869	1771487223858591673	13064374487915183079	8386389002440712090	1510722739246
11183835805356638577	14771401151246747869	17421318182594371128	13064374487915183079	6163343752015047808	1511108205140
12348752723201090267	14771401151246747869	6087010358632044528	13064374487915183079	12178632648159032351	1510708650476
10279968524435820861	14771401151246747869	6402808534238926729	13064374487915183079	11824289999859544450	1511107842105
3116482753861497660	14771401151246747869	15822193801897865344	13064374487915183079	13948888261606327895	1510614712369
8183152206572229578	14771401151246747869	7430874451696505988	10094732775563391999	12503043016275546053	1511129856300
12298442923287795479	14771401151246747869	13212561588235780579	1380988313069126961	8386389002440712090	1510811969416
12207462388576168527	14771401151246747869	5697405619716892934	11285758582461727578	15901097786019369221	1510360246313
17208892663009724128	14771401151246747869	11781836405816859767	4333393905363336546	8386389002440712090	1510676011474
17964127911160269009	14771401151246747869	744111621435803322	10094732775563391999	15901097786019369221	1510515729269
1566511047777558946	14771401151246747869	3576243088526539276	10094732775563391999	14738979299495365534	1510201935124
8596434507217743431	14771401151246747869	12009102448986529509	1380988313069126961	12503043016275546053	1510440229157
17553256725580767453	14771401151246747869	15317034846123446681	10094732775563391999	3241388764244219388	1511122040250
16791600902760442623	14771401151246747869	18096136690237114958	11285758582461727578	12503043016275546053	1510707811371
14104094976670526933	14771401151246747869	10337208460292751233	3644727946432331242	13063420908343408112	1510603181487
11720576673174080818	14771401151246747869	16714547388864456424	10094732775563391999	12306608871749386057	1511219612475
12662254850592359646	14771401151246747869	7454500921008310451	4333393905363336546	5772332140381239982	1510704368313
14498083248800858182	14771401151246747869	14509467798821979077	10094732775563391999	5811138887350930418	1510630461152
3645514067770542039	14771401151246747869	5140392164696878945	1380988313069126961	15901097786019369221	1510769917344
3248962377719613319	14771401151246747869	10967012729702592743	13064374487915183079	13063420908343408112	1510714573397
13578089754901357274	14771401151246747869	10294108671033789153	10094732775563391999	6459482643897777252	1510951153210
8138739628491752081	14771401151246747869	1615423027634338106	3644727946432331242	12178632648159032351	1510526934139
6372343995417719014	14771401151246747869	995892179664740895	11285758582461727578	1110603014897499905	1510704149229
17089082516713756237	14771401151246747869	18200857934931946587	1380988313069126961	8386389002440712090	1510770901442
9006091999558470480	14771401151246747869	16745861922099851305	13064374487915183079	15901097786019369221	1510878358283
11032353570267896151	14771401151246747869	12948084954070159853	11285758582461727578	3749581593251313035	1510437496385
10175088707073042351	14771401151246747869	2458273908928024631	13064374487915183079	13063420908343408112	1510964331403
14345899837673325017	14771401151246747869	8156662642714171096	10094732775563391999	15901097786019369221	1510438968271
14837258265608241359	14771401151246747869	2680782300651080690	13064374487915183079	12178632648159032351	1510701219374
11659598643790512424	14771401151246747869	15605356813099616423	10094732775563391999	17591679367798939946	1511231359369
15608014728356181440	14771401151246747869	17875909610362646273	13064374487915183079	3749581593251313035	1510860326389
9231576049312053185	14771401151246747869	12447951148681504413	10094732775563391999	8386389002440712090	1510849450308
10905026011520612052	14771401151246747869	2927038131470089265	1380988313069126961	8386389002440712090	1510513293197
15032155469646822963	14771401151246747869	579160616565189899	4333393905363336546	8386389002440712090	1510455886376
16593646822202275986	14771401151246747869	12897181892901331935	11285758582461727578	13063420908343408112	1510896742101
398635602438759445	14771401151246747869	15098092600048804863	1380988313069126961	6220455810135880725	1511212994467
2536330019005393238	14771401151246747869	2901619074266187060	1380988313069126961	8386389002440712090	1511194710364
11357254454521688219	14771401151246747869	16238914330963905470	11285758582461727578	3749581593251313035	1510600960419
6180543289041307292	14771401151246747869	12594694466965283494	3644727946432331242	12178632648159032351	1510439957469
8986110679605002552	14771401151246747869	3920335248339787939	13064374487915183079	13063420908343408112	1510787938348
13986262197079335587	14771401151246747869	18362856259121541638	13064374487915183079	349209589679409155	1510436201376
9846219180835362751	14771401151246747869	5225335763239827571	3644727946432331242	8386389002440712090	1510800988103
16482178565039265281	14771401151246747869	3958728527790713596	13064374487915183079	8386389002440712090	1511136846193
6182233018620217052	14771401151246747869	13208338869696000197	4333393905363336546	12178632648159032351	1511194639137
10702721865367266579	14771401151246747869	16164428132037685553	1380988313069126961	6163343752015047808	1510880756375
15306330167062780239	14771401151246747869	10653405119394983275	4333393905363336546	8386389002440712090	1511138302190
7975891937720071101	14771401151246747869	7440692945657206948	3644727946432331242	15901097786019369221	1510959749122
4501450200200416760	14771401151246747869	15201246345632796818	13064374487915183079	8386389002440712090	1510969909199
9341572662873554725	14771401151246747869	7870790312333576060	11285758582461727578	12503043016275546053	1510884914422
6442082736876485622	14771401151246747869	9548844193786735153	13064374487915183079	13063420908343408112	1510940399368
9304316436931123526	14771401151246747869	3551370305946551177	13064374487915183079	8386389002440712090	1510721679284
2017343300691681028	14771401151246747869	2419744596995508269	13064374487915183079	13063420908343408112	1511195509320
11684360304949527033	14771401151246747869	16785434687008343755	10094732775563391999	8386389002440712090	1510810595195
3266699748581586635	14771401151246747869	13661241059572318221	10094732775563391999	16097093768053997598	1510799885201
2602023974350760192	14771401151246747869	5159538144744017378	4333393905363336546	8386389002440712090	1510782107450
3484651963276988508	14771401151246747869	7442952486713933855	10094732775563391999	11824289999859544450	1511110130166
13844750938773946624	14771401151246747869	4466454114657951553	10094732775563391999	12503043016275546053	1510388630488
13924136629787418617	14771401151246747869	8836200709660002570	11285758582461727578	15901097786019369221	1511139295363
3841244322854795547	14771401151246747869	14060596973290015248	13064374487915183079	3995450012315482071	1511234860339
15236897401928349832	14771401151246747869	7115298183765881424	10094732775563391999	12178632648159032351	1510798537372
814762053441066823	14771401151246747869	3271865671961989207	11285758582461727578	3147549517309679058	1510798537372
7984560547002984839	14771401151246747869	2568945764904032952	13064374487915183079	12503043016275546053	1510691203416
2582620649121471610	14771401151246747869	5766363050521094231	13064374487915183079	13063420908343408112	1510516071190
7915032519063491698	14771401151246747869	16329428015254944616	13064374487915183079	11824289999859544450	1510801578128
12688078870829548133	14771401151246747869	7184214240239072211	10094732775563391999	14738979299495365534	1510877041302
15888283558616903887	14771401151246747869	4011140097288041523	13064374487915183079	8303653698609915605	1510763271371
3355933711955362573	14771401151246747869	12096509710637551027	11285758582461727578	13063420908343408112	1510612878106
13225288107649167933	14771401151246747869	12579835335821557623	13064374487915183079	11255986084234055811	1510697708354
9234529352071506680	14771401151246747869	4387614268832903632	1380988313069126961	8386389002440712090	1510785886300
5924034393999515285	14771401151246747869	5446836849743825881	4333393905363336546	8386389002440712090	1510795020263
10647555997970757785	14771401151246747869	12722571367159229320	13064374487915183079	18244986807144649004	1510720382390
4144562399315703096	14771401151246747869	2404971241935537688	1380988313069126961	3749581593251313035	1510961203186
16039428844690661772	14771401151246747869	13071068434580525663	13064374487915183079	6690428115669065630	1511206489267
16289946323501396877	14771401151246747869	895060605634668153	11285758582461727578	13063420908343408112	1510441645485
13517230336244927529	14771401151246747869	18068586271032733382	13064374487915183079	6690428115669065630	1510798076402
8351149980657280913	14771401151246747869	4955856418827079464	3644727946432331242	12178632648159032351	1510869590330
17444024583629379052	14771401151246747869	1962807757733398070	1380988313069126961	8386389002440712090	1511127506185
15100657236441768359	14771401151246747869	8914155343559480753	1380988313069126961	8386389002440712090	1510849392426
14484682597507972817	14771401151246747869	7587216731985648460	13064374487915183079	13063420908343408112	1510723565217
6687360861323883189	14771401151246747869	5826466925176097814	4333393905363336546	8386389002440712090	1510434274295
13720842350588575550	14771401151246747869	8744922776623486190	10094732775563391999	8386389002440712090	1510942410482
8852581488070975974	14771401151246747869	10153380730865559222	1380988313069126961	8386389002440712090	1510965677402
4427119906815979020	14771401151246747869	9583079730132021427	1380988313069126961	8386389002440712090	1510451860126
7090164306368265696	14771401151246747869	12994673863804581667	11285758582461727578	11255986084234055811	1511231569365
549078165623767816	14771401151246747869	3033269511661894202	10094732775563391999	6459482643897777252	1511048635114
11383420878322048644	14771401151246747869	3567972803391249785	13064374487915183079	16095960576747131652	1510605814477
7512264136762122279	14771401151246747869	1641823459501314554	10094732775563391999	1529443052275030870	1511126480432
8485162975694161544	14771401151246747869	4097294503854482126	13064374487915183079	11824289999859544450	1510868881112
10072394445379203273	14771401151246747869	11481930999516960528	1380988313069126961	3749581593251313035	1510808950138
11937003572946918326	14771401151246747869	1306538649162690249	10094732775563391999	5811138887350930418	1510866832281
10937947231331767632	14771401151246747869	14657936540175988910	10094732775563391999	12178632648159032351	1510863403172
5519782158454210532	14771401151246747869	9380775683395046707	13064374487915183079	6690428115669065630	1510532141460
17537979244673002554	14771401151246747869	1876601639463897390	11285758582461727578	3636840851853038840	1511132132386
2566714287439886003	14771401151246747869	3812972039723783624	13064374487915183079	13063420908343408112	1511126811441
8934663564062688702	14771401151246747869	15803949971255574157	13064374487915183079	17513848080500584270	1511148541489
10732543505051601260	14771401151246747869	4320346968136173535	1380988313069126961	8386389002440712090	1511197520198
16599012061909652106	14771401151246747869	4673336580492414018	4333393905363336546	3749581593251313035	1510773579322
8760434925621971829	14771401151246747869	10138175069161282892	13064374487915183079	11255986084234055811	1511238374283
10000035468326635956	14771401151246747869	15729893541012437923	11285758582461727578	12178632648159032351	1510441175454
609211264915251908	14771401151246747869	2010173648880366716	11285758582461727578	15901097786019369221	1510676245310
1823440213182009554	14771401151246747869	11500558845718360945	11285758582461727578	9186336969896257796	1510467533447
10707912213440189678	14771401151246747869	6635943543423097682	13064374487915183079	1529443052275030870	1510698419354
3663742638238101857	14771401151246747869	9159796478609985320	11285758582461727578	12503043016275546053	1510598263185
17397220500425309305	14771401151246747869	5577858266402733958	10094732775563391999	13845678384596740653	1511196950402
12580097818049671247	14771401151246747869	10443788694219458186	3644727946432331242	12178632648159032351	1510416005136
5561096155036689774	14771401151246747869	471161898784163068	3644727946432331242	6690428115669065630	1511033717488
5919243805629204917	14771401151246747869	15219500468688531718	13064374487915183079	6690428115669065630	1510789144243
6147627728296596628	14771401151246747869	17445412268016966012	1380988313069126961	13063420908343408112	1511045190401
10155107387119622835	14771401151246747869	6917323037933130096	4333393905363336546	13063420908343408112	1510849726211
11784055250843438468	14771401151246747869	16619517098454279625	10094732775563391999	14738979299495365534	1510389090148
8578429273715614085	14771401151246747869	18375492268685354300	3644727946432331242	3147549517309679058	1511215869206
13964836076694089963	14771401151246747869	10839269118345225000	13064374487915183079	6163343752015047808	1511225341381
11810216220095287219	14771401151246747869	1929873165802916650	13064374487915183079	13063420908343408112	1510973041452
5913656280416338866	14771401151246747869	12767721556676825240	3644727946432331242	12178632648159032351	1510422288411
3332634148777079781	14771401151246747869	7999635210291074413	1380988313069126961	7660639577192428716	1510777641256
18341067814254471423	14771401151246747869	15151819064603805105	10094732775563391999	8386389002440712090	1510723200254
12485192988795471475	14771401151246747869	8777972368605358518	10094732775563391999	6163343752015047808	1510787264186
7722580099721446640	14771401151246747869	15111074146577708041	11285758582461727578	7016525554915663222	1511118311199
13995942114720357948	14771401151246747869	14954472460026345891	13064374487915183079	13063420908343408112	1510686392445
3648458483365838367	14771401151246747869	18256429559575646170	11285758582461727578	11433701526147951582	1510629643225
3933233289629311665	14771401151246747869	6985295966906017493	13064374487915183079	13063420908343408112	1510800531168
14415653518257701023	14771401151246747869	3457761186488519586	3644727946432331242	3147549517309679058	1510800702127
12312783123639642188	14771401151246747869	13967034595129742284	1380988313069126961	3749581593251313035	1510973772373
10118370004925714809	14771401151246747869	7617920634413549706	11285758582461727578	8386389002440712090	1510868527455
13314875550566435711	14771401151246747869	871427210521074076	1380988313069126961	12178632648159032351	1510534217256
16236713195332181368	14771401151246747869	2782681026922850138	4333393905363336546	8386389002440712090	1511110928159
6878264369267012765	14771401151246747869	15185833372023706150	13064374487915183079	13063420908343408112	1510446236342
9081384504649080451	14771401151246747869	11417593457086030864	3644727946432331242	15901097786019369221	1510444115267
17308025419519551611	14771401151246747869	6374201589472510672	10094732775563391999	6163343752015047808	1510679282344
17034777342917252194	14771401151246747869	8381747374653586436	4333393905363336546	6690428115669065630	1510788970484
2015561011537719861	14771401151246747869	11692754387025618263	10094732775563391999	5811138887350930418	1510782103265
14155046266122793032	14771401151246747869	18244364359882611505	1380988313069126961	9186336969896257796	1511134116479
7259237163662576973	14771401151246747869	5130589532124830492	3644727946432331242	3749581593251313035	1511048405135
38049588597397494	14771401151246747869	13370675901653319105	11285758582461727578	13063420908343408112	1510813318138
14768497524926057326	14771401151246747869	4502045050821707954	11285758582461727578	13063420908343408112	1510873629179
7696060899510357260	14771401151246747869	4646544845904224631	10094732775563391999	12503043016275546053	1511129637173
12918394851882470165	14771401151246747869	7141993055056335491	10094732775563391999	5811138887350930418	1511040955137
9953653493412684801	14771401151246747869	13440011047861667344	13064374487915183079	8386389002440712090	1510598580110
12571154260563217281	14771401151246747869	4179658196230942296	10094732775563391999	12503043016275546053	1510863013475
1784310228248247243	14771401151246747869	11580100843977053656	13064374487915183079	15901097786019369221	1510418930427
3278144208482401578	14771401151246747869	1202987508882878673	10094732775563391999	12178632648159032351	1511057193159
8731051549719108361	14771401151246747869	15350672432271027272	10094732775563391999	11824289999859544450	1511110857369
17742041097393211950	14771401151246747869	6049286372405759758	11285758582461727578	5109942080048002135	1511129909319
12426212198679169501	14771401151246747869	12771777731245101987	13064374487915183079	11255986084234055811	1510805153299
15656976932197220160	14771401151246747869	12556525350836741753	13064374487915183079	3749581593251313035	1510694603291
12036418114500225049	14771401151246747869	15762418795427016407	1380988313069126961	17322256674161105329	1510390147263
6983495582337384711	14771401151246747869	29726427904255148	11285758582461727578	12503043016275546053	1511111839454
6645190680671253974	14771401151246747869	14463154037574296205	4333393905363336546	8320321884579852591	1510781042378
8194771742333284881	14771401151246747869	5268806757771095726	10094732775563391999	12503043016275546053	1510723500363
787865036772258222	14771401151246747869	6528483282812778298	10094732775563391999	12503043016275546053	1511133315409
14023468324900890237	14771401151246747869	9727054541167901427	1380988313069126961	3147549517309679058	1511221477291
1372785532131273124	14771401151246747869	5989189274631236329	3644727946432331242	3147549517309679058	1510894726220
18366561143607148212	14771401151246747869	30091152404171461	11285758582461727578	3749581593251313035	1511148005224
14937251112123283890	14771401151246747869	12446867967208813844	10094732775563391999	14738979299495365534	1510798907174
7066685652027449821	14771401151246747869	359149678349392669	10094732775563391999	12178632648159032351	1510450216185
10290265092299671278	14771401151246747869	7092248991408269855	13064374487915183079	12178632648159032351	1510603905169
129836393483963778	14771401151246747869	13074742527296331349	13064374487915183079	17702733597387919111	1510525783234
5362617156270993738	14771401151246747869	10870689758222597476	13064374487915183079	7527979777863649906	1510769498215
18197765281790053130	14771401151246747869	8508838261322751978	11285758582461727578	3749581593251313035	1510772266337
14428650483666480785	14771401151246747869	16257914749886493854	3644727946432331242	12178632648159032351	1510527091266
6736109728839526882	14771401151246747869	2027272518225853835	4333393905363336546	11824289999859544450	1511222890209
5198552175086541970	14771401151246747869	12597604506229564947	11285758582461727578	13063420908343408112	1511116508290
5806937271430293955	14771401151246747869	8582849300834670994	11285758582461727578	349209589679409155	1511230768434
17285137038072052003	14771401151246747869	5974378186785050188	11285758582461727578	13063420908343408112	1510795359424
16755105619560175866	14771401151246747869	6338435505578358564	10094732775563391999	15901097786019369221	1510363175330
16962910643640029211	14771401151246747869	690480280828916654	3644727946432331242	8386389002440712090	1511036333123
1516850168714733280	14771401151246747869	15854546613142203068	1380988313069126961	13063420908343408112	1510877300107
16577054701298798870	14771401151246747869	11764241850753238590	1380988313069126961	8386389002440712090	1510778371155
11081592027686515212	14771401151246747869	568966888103338637	11285758582461727578	9450757977533935280	1510786032312
15574226286204120728	14771401151246747869	3410275729096459862	13064374487915183079	3749581593251313035	1510524442270
2806409326324740665	14771401151246747869	8311412021754369947	11285758582461727578	15901097786019369221	1510442620483
6797637717497380789	14771401151246747869	8715919371235479126	11285758582461727578	12503043016275546053	1511127144372
16171081700631458811	14771401151246747869	6596688052282055834	13064374487915183079	13063420908343408112	1510802377149
14713238705971227051	14771401151246747869	11185589338152462137	1380988313069126961	8386389002440712090	1510857639099
15190278085222807048	14771401151246747869	12009102448986529509	1380988313069126961	12503043016275546053	1510868936182
4267987185586899847	14771401151246747869	2010034523346612663	13064374487915183079	13063420908343408112	1510793897128
18351320873165851026	14771401151246747869	1935597327590947313	4333393905363336546	3749581593251313035	1510853507264
13221057869146803640	14771401151246747869	4431989549060627219	10094732775563391999	7694759065736235622	1510698952324
1971956999756269326	14771401151246747869	2681614059077442989	10094732775563391999	15901097786019369221	1510430102407
3989298481238955462	14771401151246747869	15030119435027358314	4333393905363336546	8386389002440712090	1510875400315
1704658459249095212	14771401151246747869	6222680544528834810	1380988313069126961	8386389002440712090	1510431972244
3855100719703633275	14771401151246747869	6010434907382534215	1380988313069126961	8386389002440712090	1511154163386
15884230150694885159	14771401151246747869	12496482078607304155	4333393905363336546	8386389002440712090	1510703774436
17723855621839070178	14771401151246747869	18327791612407764887	10094732775563391999	12503043016275546053	1510956452156
13726412478823118429	14771401151246747869	17996646636658002215	10094732775563391999	14738979299495365534	1510698140461
17422980248847519484	14771401151246747869	16975754265040679452	11285758582461727578	12503043016275546053	1511143811132
8303832073525899134	14771401151246747869	9448826078642539779	13064374487915183079	15901097786019369221	1510772756226
3113224737172970805	14771401151246747869	4979496455728569574	13064374487915183079	13063420908343408112	1510854389384
1064224650611974984	14771401151246747869	18388531488224067736	4333393905363336546	11255986084234055811	1510699191426
15795767441115511057	14771401151246747869	3843340621324937735	13064374487915183079	6690428115669065630	1510884384251
16937466853145537673	14771401151246747869	16471783198684501020	10094732775563391999	17591679367798939946	1510720456338
3788816600234897378	14771401151246747869	14626428701012678749	13064374487915183079	12503043016275546053	1510717949146
15084710976421745060	14771401151246747869	7921345728749715675	1380988313069126961	3749581593251313035	1510709208443
1433644950787836276	14771401151246747869	12420552755728681940	11285758582461727578	3147549517309679058	1511126326282
8011150738581174399	14771401151246747869	11113171484588698171	11285758582461727578	13063420908343408112	1511138018471
11306652619222933270	14771401151246747869	2247398284762796596	11285758582461727578	3281218597957197232	1510426656461
1797273789381654941	14771401151246747869	15211801321188361079	1380988313069126961	8386389002440712090	1510535454484
17233820578340829462	14771401151246747869	1172616528123559638	4333393905363336546	8386389002440712090	1510365863266
10119023515463420219	14771401151246747869	1852227833240620874	13064374487915183079	8386389002440712090	1510850753126
6472467005311006771	14771401151246747869	7485624185007515181	13064374487915183079	15216814587921139684	1510868809306
379621603227260256	14771401151246747869	9950665281465534201	11285758582461727578	13063420908343408112	1511199169437
