n_1	c_02	t_01
29851	5341944227955271881	1510651189136
38851	17522211077186806020	1510795253488
29851	2411331572822037140	1511241872243
14926	2236603423820580914	1510827896401
17101	4267987185586899847	1510823461211
15601	16615707756573281877	1510910585148
25351	5380662013524298092	1510734277206
56759.5	10134789819695301439	1510895635381
44851	5919243805629204917	1510818018452
9541	12742626845163132040	1510803596411
74851	1696165133475817236	1511259891256
5851	10772804688176863746	1511247867254
4970.5	3347918303649347043	1510809187186
54751	15517881535780455167	1510589660199
17551	13517230336244927529	1510826914445
147901	12918394851882470165	1511070122225
13201	1910618174267857878	1511231493168
35926	2806409326324740665	1510595131127
16351	5916169413381831458	1511253488373
35851	2078908332301407975	1510720078455
66241	4547813827125563734	1510815942256
11401	16435579600175632605	1510589055159
175951	9913458179795388446	1510593305342
8326	9357228006032858448	1510898268267
26851	3068330561351997682	1511059846344
29851	5491581079786345119	1511144819484
65551	18304332023463470426	1511227491265
45601	1419589615335245240	1510892112479
67051	10955364924253447637	1510734135135
62851	16871972897331447331	1510808426138
209851	295986505429323101	1510593081179
8851	15795767441115511057	1510913909173
14851	16462197245085806025	1511000693137
9601	1694476391704844702	1510807858110
25351	14434061178299200320	1511063069475
41851	5907614579229985228	1510824728427
16456	16111061238611380175	1511076529159
59851	17980832492988115662	1510809666369
17851	5261265098733252000	1511246565319
16351	17935147027272702473	1510893709299
14851	1989817090511218884	1510632661291
104851	3113224737172970805	1510883753263
164851	17544439195832288914	1510589758454
9331	3210300435280995836	1510589188378
119851	65728558415267043	1510589958363
53699.5	2753557985347818932	1511159472409
44701	2960818254200048075	1511256892291
29851	14104094976670526933	1510632096220
88051	2002046627857346320	1510829981224
89851	16595460102346603718	1510639427174
118351	18052124815073921818	1511235894185
16351	5178552156992777258	1511242151169
89701	12368947030916834862	1510710780234
22051	11239900996966274309	1511235154215
14851	9377209325986291064	1510984671337
36301	13211571312614402828	1511088051266
16441	13783928939694861440	1511142636209
12751	15717573078136207264	1510877497290
14941	3332634148777079781	1510806477434
167683	11652950514219562613	1510588933424
35851	6874142350897967284	1510591374330
32251	11686402708900899024	1511137504123
22478.5	6837137333268738430	1511232275107
22351	16523056663742484152	1510904148155
127801	1451731422821954562	1511155308312
5101	17660432785261961489	1510979402270
64351	12307136982628134062	1510641936483
38807.5	2725767901355335282	1511244617372
42061	5616174666463268740	1510589180149
24271	6684761286221165987	1510814270099
23851	4977485048243745539	1511228739182
184051	12558671697664517847	1511231076128
232351	6797637717497380789	1511156120264
14750.5	8726260961348775505	1511086431324
91801	12688078870829548133	1510906195407
105751	6747738955238682006	1511267751315
16201	10714351091766290053	1510971914244
344851	11946584277956843971	1510801890386
144601	17526608975449977291	1511244451436
12803.5	12840416281933899822	1510919516156
115170	4438626883811700989	1510640493461
28351	18139319554801643640	1510916239132
8723.5	13832812637316564388	1510878738226
6899.5	12571154260563217281	1510891883384
77401	9305780890490706590	1511261721426
16051	16254467344835996122	1511252311251
16997.5	4331478718995780066	1510742799338
19351	18169703823236067621	1510888989146
26704	2886613413021395732	1510899890443
19351	7167422548707062493	1510716435282
16381	6193289477638887015	1510990153471
55801	3116482753861497660	1510643885461
54601	6374907413338369784	1510813672484
7351	2316298189892277698	1511076525266
25180	1222996479483829041	1511146912126
87893.5	11757100692568633190	1510744623306
19471	4454646116996474444	1511139558437
13351	15031978639066717356	1510589055119
28949.5	15210938079854622931	1510816580367
74881	16857474312229179446	1511086615274
24451	8013695644175801074	1511261165298
47137	15884230150694885159	1510732650237
14410	10641862446710540866	1510979322304
186253	1635793441673959297	1510589773463
156751	8328082036316718812	1510589114462
32851	14085866406203080252	1510802207399
49501	10206033488692513218	1510839052288
15601	3577918862392854234	1510997781394
52351	17193608486081710326	1511077948474
16201	7185044903186592171	1510812241235
28201	10270439264296484618	1510589687452
38851	2561643293140465369	1510588807232
10201	2720229980477064327	1510589171446
7498	14984254133930986709	1510830462366
209851	17742041097393211950	1511158944126
41221	6606597348679542578	1510648799382
149851	16029794816922276245	1510814376306
130951	757480768337737491	1511236855153
17701	3278144208482401578	1511086305216
55351	11425434373155722888	1510589719437
44401	17017838847716281436	1510813088123
373351	15150760392999593698	1510727144375
76351	11937003572946918326	1510896418408
116851	17775706628399821726	1510589014118
9878.5	4801548167898020591	1510589171151
40351	15017759528203042511	1511147793435
14551	13314875550566435711	1510589693112
16618	5786669167079165130	1510588986276
143251	16472436480454572166	1510736136242
20551	8158693922638659446	1511081537167
53545	11339448386828187497	1510626730239
5641	5589391754168729692	1510628337441
112442	12218193296869921010	1510640378305
14701	14415653518257701023	1510829546231
26858.5	11306652619222933270	1510592513201
61951	3630285239951374063	1511231385456
14851	6541899770445310813	1510974291318
15211	6085848446529244799	1510974263391
37351	16624148438968173549	1510648106360
14251	6735138667382829800	1510588818302
8851	15574226286204120728	1510589131314
44851	13381291748822752886	1510642822109
133501	8665401542692212193	1511152017436
407251	6994064599176486950	1510892935270
16618	7051056656662753426	1510642990377
26851	7963465115913456134	1510719090250
430351	17715887065872413050	1510636806340
59851	12207462388576168527	1510643571193
49501	16091896501474160643	1510651496304
25351	16295017316212273187	1510597616245
30301	586216129402229991	1510629461140
14101	15053668386739390144	1511224394329
11851	154936494610991795	1510895958130
16201	8779515966374702476	1510798026236
26521	11471352374149902753	1511174622135
14665	6057072963048872511	1510589958361
19426	8088362247330088954	1510798917181
44851	13369431394322034886	1510645497326
14101	13496536582767871119	1510630147325
8851	559481114104863677	1510897562111
16618	2076251469035979005	1511230834395
14851	8767882377257732127	1510588846465
103351	14748497506832429158	1511066138454
475381	16931773652036836352	1510738582388
7351	17968249929529181432	1510637121206
32851	16289946323501396877	1510589469343
1.14417e+06	16785164318969724453	1510882067354
901351	16225332247663286319	1510710608213
22351	2144799223544429024	1511058276244
113251	6736109728839526882	1511251693225
159560	18009520829609708501	1510813115416
79051	12556444527214843801	1511246244246
9751	16434089610174256758	1510607586235
172928	4637940563915832680	1511230705362
13801	8799599304227522138	1510899736204
67051	9712727693554055232	1511084146300
6751	12844806101664022946	1510798309123
29026	3248962377719613319	1510743616446
14851	1111194987988304904	1510595257181
50401	11026608593250926548	1510741795115
194851	5924034393999515285	1510823858201
389851	423264599514841958	1510588956400
128851	14460993192234459360	1511225344132
9736	8506555130953025004	1510794215410
25351	16742028283295509446	1510891351146
756854	14801536978838608115	1510737249168
32639.5	15090404177530388861	1510747413281
31351	9456261157928193683	1511240139406
10201	5308069181937172883	1510928838183
20143	11235110408595841493	1511227030295
14941	15832168575838334459	1511139185419
945010	15310973199401012350	1510836472479
23701	12580097818049671247	1510596223270
9181	17089082516713756237	1510800572170
87601	12009931598720644785	1510709061164
26851	6021828215543585308	1511065713165
8851	11313242978521654563	1510819188414
63751	13225288107649167933	1510726665420
21751	1064224650611974984	1510728004279
22351	12617303945871291432	1511226345347
37351	14358658280466321159	1511246287333
9586	3679868274095754714	1510901277205
46351	11717841069457649913	1510589429103
31201	14146227806272116771	1510808079256
14851	12811698670763967789	1511258632256
71701	1524276796777781613	1510735382209
22351	7006593895665286014	1511085387458
8386	4427119906815979020	1510591689458
197251	13350185239065796408	1510804749343
10351	17258332972961882632	1511001811149
57301	11221708583680959778	1510908778261
8851	7576946823047078699	1510977138232
48451	2856044378088537887	1511177105451
39751	11992731420616284345	1510589266295
55351	8630796252368544193	1511057744152
5071	15805364510728160784	1511262404285
14851	12540024712445208152	1511246868364
10351	13056551475328563730	1510625725122
12076	7505952692439266345	1510813955202
74851	2073951489758765260	1510662300448
480601	5039479863030788735	1511251338318
14851	6300465537319939598	1510883898131
13201	5519782158454210532	1510590246224
59851	18433346546764689224	1511247081276
37201	1566511047777558946	1510588816380
15412	10175088707073042351	1510993696290
41851	7032379279959042595	1510840397342
10201	16240412009383370207	1511061707304
37351	16891762051633603830	1510590300398
13351	13924136629787418617	1511168213309
55198	12725602171356079112	1510624802339
17356	12787021839431197221	1510641220241
14851	2244512681764370641	1510594554203
7486	15518722291577461900	1510908177344
104851	9516952029465743672	1510588824398
4201	17688821383335037597	1511266729360
15511	12572250419656084682	1510795464241
164851	12421964728104157892	1510659024153
781072	6372343995417719014	1510732986115
26251	5756913781007009198	1510705915485
194851	18403817454345835036	1510724820382
241756	1801395807750698379	1510656606277
17341	8010198309788480923	1510654336227
7486	15488161090524674343	1510590309130
97351	4903727424398944189	1510589761473
80101	529096845670342512	1510926943458
107251	6739184121086974705	1510833112316
13201	14646453302813684475	1510821381135
28201	17191807083507350582	1510596142481
11881	11183835805356638577	1511137299419
16201	12842005273866866940	1510711118271
92251	1610804620647385116	1510745044309
32851	1264188388391346532	1511254246238
11851	3001208910723695347	1511091196397
40351	3261909160211301871	1510822838487
209851	6697152113927202146	1511229855128
8281	13101196836801196130	1511148072375
26851	35834998850255813	1510813334126
13043.5	7984560547002984839	1510720508121
27751	14384708736638170242	1510908212461
53851	12331629047462576264	1511255403337
56737	2487836206222565074	1510589032361
155881	16336530228901310474	1511143239212
29851	3355933711955362573	1510641708441
62911	14972873186262094412	1510590682393
16351	10942474194003377100	1510750486298
48341.5	3422870477335927999	1510901757489
20773	1157519664360467003	1511145675144
89701	14337904653434119511	1511252906353
14251	13851309610239695702	1510806578114
58351	14775595773351454491	1510722162317
14986	9820353491161875846	1510891167423
59851	14403554660461140826	1511185826470
22201	4199603765752299495	1510607359445
68251	6499626014443731848	1510750566454
89851	11820600470436080006	1510825235454
71101	5623140508682091756	1511254012414
95851	13292663135222691291	1510595443280
8851	8299778665603716804	1510803482277
16291	2377342375047232801	1510992500192
50551	11409357559362663397	1511087673388
9151	2369054452289607372	1510589355449
26701	4027438433576915718	1510597236403
55565.5	14460152436437465739	1510628511136
16618	6531862900509972627	1510642424143
70501	7889260274734738653	1510642158187
8986	8800252814765100761	1510889902344
11851	6962654808446488796	1510643079419
14851	13781886535743509945	1510883054214
41992	14903410590052700048	1511148133153
16471	15301820595804013579	1510791976390
82351	10745278477996261946	1510711362239
8947	3614002734049096556	1510996073202
47483.5	2808480843095718936	1511248001290
11851	5806937271430293955	1511259984190
8101	11601813617381453980	1510839844106
10501	15608014728356181440	1510889643099
29851	16186100246418746080	1510641812367
261301	6586777638114083927	1511224246329
38270.5	12348752723201090267	1510737782140
166636	9395401739271744803	1511254263382
41851	18431015800966049776	1510593020157
30301	8866838303187447987	1510588951464
17701	1784310228248247243	1510590354363
16876	9231576049312053185	1510878739290
13640.5	16037685476155313714	1510648129428
14851	14357406814669211816	1510588853114
224851	4435800193173585424	1510829748214
11701	11182744031037464328	1510991402396
35386	12322811517714118979	1510725681292
28949.5	2436987372447103281	1510595369308
614851	8934663564062688702	1511177426294
14941	12744131808243633340	1510825260251
654001	16173626606226084174	1510924723399
239851	7042164873496036747	1510707433119
13351	17005305999862335334	1510915716296
14851	18366561143607148212	1511176867487
112201	7269601805207956971	1510632562151
83701	6714233560966771112	1511058233403
9113.5	16215002624086907781	1510795576389
12601	4611161147889280768	1510729051205
14251	16755105619560175866	1510643005482
55351	17065876914943098905	1511182056139
8978.5	14246580660963495450	1510997631308
25951	9755068491096888744	1510992269460
9653.5	13512439747874593025	1510821248408
32851	12426212198679169501	1510833998102
20701	3201049741554735294	1510840210247
14851	3645514067770542039	1510799154286
1.28776e+06	10626460566881297652	1510746692333
9886	16001625138235046595	1510908719288
40351	18109761187834522920	1510718449356
224851	17000216493236881071	1510721736178
14851	12607370628787832796	1511261622440
111751	10137215928748620757	1511162165407
31561	6917746362679304847	1510812313369
19486	10411292529008225853	1510654879165
49801	15140863126466860085	1510904198209
17281	3126626562087950787	1511159333272
8363.5	13993553687863975264	1510913071250
11101	14159186982632106861	1510912482402
8251	5514145401570336318	1510810098268
26851	2252462725404969475	1510840098445
41896	12485192988795471475	1510816489342
58051	16372950346439677169	1510594589355
18001	11881459889092757846	1511062034252
104701	10155107387119622835	1510878568326
44957.5	997712255692381476	1510819820139
37201	3763340667625003818	1510904606304
25351	168489798909866315	1510707787417
38101	16032009406669436358	1510881066429
32851	2467825611720957539	1510730402197
17626	1570069882772879736	1510827494196
69901	988932145521350063	1511173880256
2.5	5032090355072484807	1510657218194
5986	799494263171415563	1511156940167
67384	6536810263819856580	1510730038353
44851	2161034271815512364	1511260989197
16141	2566899053938261725	1510879323315
26776	1566832129153394294	1510735561149
89251	2772571984559285249	1511168598218
13471	1981915832373323425	1510793501292
68551	15805291701900773703	1510657048193
8657.5	5567146593114720933	1510819088297
9653.5	15585507694734741304	1510993869420
7201	11855859271297372616	1510906426289
104896	2323369937820417041	1510800450355
11851	13528859562644048207	1510821477487
104851	17422980248847519484	1511173027399
10741	15882677315943993467	1510819609315
11851	8350965214158856143	1511165084247
9751	13109069771636956661	1510588987312
44999.5	9436279837974760295	1511138684484
80401	8594849088485002991	1511244204380
223351	6421673400306302852	1511249303342
22351	6787556844381807936	1510884836349
68101	17689681657565873888	1510825364143
14851	14031141601289109775	1510976326178
23701	9973134480923550848	1510589171389
14939.5	17024151923685306870	1511227901135
18751	7894866432611587602	1510919781283
14926	17444024583629379052	1511156716115
13351	16039428844690661772	1511235867412
37801	13479392848888425908	1510735687381
53701	17427604768859980468	1511156855273
5986	9998898855830341246	1510817044116
8011	17427789535358290656	1510898340449
44851	15388876854630936465	1511166454136
16351	10603767219690956010	1510629668392
97351	6462064056829915338	1511078407452
65401	10192574846104498284	1511253566364
41851	17814842991802124359	1510716613121
26267.5	13433189262004091997	1510740181254
23164	11733322508790369081	1510708414245
61351	3758882401785061527	1511063185106
237001	10697080745765594508	1510922218185
40351	10507029871189358690	1510590326435
3301	9774385885833412099	1510589702149
9751	15489467367312013773	1510805742360
38270.5	1102301365305554772	1511164504345
26986	7375915005265743487	1510794302365
8371	15862552844273050806	1511000226295
14851	17117139263987108968	1511077233345
25201	12051156959079756806	1510752276146
14851	15576604937626190862	1510636487185
15031	13128986920793551776	1510994829197
30443.5	17277346972173259693	1511070192183
68101	4403383767952529946	1511233348407
37351	1058349203597973250	1510918005454
130201	1433644950787836276	1511155472260
52246	7346630841993965042	1511156068231
49351	16001440371736445613	1511225728425
11497	1470046085510730004	1511251941277
9751	3892355190926149368	1511003599153
14851	10297041849742866601	1511071441316
207937	2602023974350760192	1510811019238
11986	15678072363286731213	1510724277348
34351	8970684380270094922	1510712494453
101551	10768089900295237768	1510817027453
3736	4450187851156539593	1511161641250
80701	5564250852663809410	1510976531203
94951	4952216840510658397	1510641932114
20851	14057361782795473904	1510705729450
57301	17501994376537026548	1511246020358
3871	6421019889768724414	1511261451260
24151	15888283558616903887	1510792349458
600008	14773032355430991161	1510650897231
625135	2145556755834618037	1510590227206
22201	1762300949447501459	1510589554295
224851	6435259991719619366	1511250510279
17251	18205000328350001882	1511147853239
56138.5	1930618192361631118	1511138743171
14926	10991292504226950792	1510988902475
8986	14023468324900890237	1511250456485
38456.5	10925464668432986783	1511232007396
77701	2033789582005211118	1510647019349
14851	6791206938406497096	1510589629370
55501	11357254454521688219	1510629898481
82351	3279165452856149119	1510620039266
57301	15094172818394255284	1510589774121
5851	15494082879822041618	1511241121251
96601	7574995572734816502	1510982879185
6274	11482328416518619945	1510751787447
26521	15086350769608075653	1510751339216
41851	15425709499629724496	1510724114239
26851	3144212866016543572	1510816268452
124501	7778607587078405193	1511158545355
519937	5472099990237349545	1510713663488
73687	14329785878890180106	1510826567202
8851	14627399078756493330	1510589761105
27901	7681067187032409241	1510590166427
6728.5	2536330019005393238	1511223609306
22801	3921886122861051691	1511248670120
8236	5826598849555961323	1510590193387
46351	1439570935288691392	1511060970353
9601	5736854448620747570	1510903590460
253351	16599012061909652106	1510802718355
23851	12876817416656761346	1511141248272
23851	548424655086193467	1511139126354
11101	15735765491421454409	1511161283339
37351	13282903570452423395	1510631027453
110701	13578089754901357274	1510980078103
715201	4216540070044648170	1511227008411
7628.5	3080454998334429727	1510713724225
147826	9329305257957569350	1510588863276
9571	15646329409138735498	1510899114104
59999.5	27665338256637219	1510819248475
6601	1105153286801949486	1510888068334
54901	14498083248800858182	1510659685486
31051	6132430058982323383	1510818588430
3736	15981083305096446391	1510886548143
20851	11586946637362850153	1510814125248
76351	16977827247313054979	1510589083125
18296.5	11371966380367453330	1511089737278
98851	3423777485156767263	1511225350152
19351	1044331572397985180	1510982584444
14401	12036418114500225049	1510611227240
14851	5451905682521637662	1510741367409
198493	6878264369267012765	1510597424229
44851	14065855811701371247	1510736589344
8251	9304316436931123526	1510750547202
14851	15100657236441768359	1510879004166
11851	7769384182925406828	1511063496338
1.27485e+06	12692869459199692549	1510915338224
25351	7564520001240467583	1510632609455
67351	173782418433893131	1511161107201
425251	11094921230829369887	1511082556194
34105	10537088570599138790	1510909974107
34351	814762053441066823	1510742765375
7351	11387447819700159470	1511237440236
14251	8811882041164286711	1510901271347
10501	3191234333653931569	1511235552338
42901	7810083629832102781	1511159816240
64351	6615932425828236642	1510707881446
5101	14284453439287602378	1510883108464
53701	6779883567993703360	1510913918204
23851	14700718438819699191	1511159234452
24001	6992992715277710531	1510631328237
8236	13210730556817150331	1510591244439
43129	14768497524926057326	1510902450235
5161	13816960570106242381	1511268374177
14851	5192417561343930937	1510751707270
11251	3904515678459446874	1511166262171
14851	16205137939947543732	1510736795381
52351	15965224003511927001	1510818584449
113251	9576840202439772498	1510588907225
19351	16650310568135848715	1510643424335
19196.5	5587900220146856469	1510828412378
30503.5	12177929372805552470	1510593095144
81451	8702138924885952171	1511158651466
56101	11890014723244556145	1511238610410
78601	1579278227462224853	1511247132247
43801	8742067783892127876	1510589029320
10576	2231709098372851306	1510887130258
59251	8042344809236055895	1510821828159
4801	13304044082891848643	1510828681463
25561	15190278085222807048	1510898116361
7169.5	326021570653513283	1510707791432
14851	609284073742775274	1511246537472
26776	14484682597507972817	1510752730246
16861	3781530876736505487	1511165824178
55198	17723855621839070178	1510986209116
22951	4490393741181754483	1511228710272
37351	6669825609370790523	1510813744106
20341	14668680491357219793	1510900118251
89701	14146556863701230790	1511187496424
9601	10790400408597624507	1510890397211
215551	4876745947390284351	1510904935391
15046	15158518063339629655	1510803829171
8851	9551763963144450934	1510732391338
14221	3759636010723414076	1511159581136
5986	6207341174414774024	1511180835427
73201	16106214247848203537	1511246121118
261236	15219420292234231305	1511250507209
8056	4024329253173940551	1510588837319
119851	895134048011862923	1510811747469
128401	4903280207065092191	1510829250335
26551	12753728877856321461	1511167802342
25561	8596434507217743431	1510589138357
29851	9907821422911449444	1510753241167
86837.5	1491937312847192229	1511240473105
14851	17559182710081622329	1511004156277
13351	17658205614812050958	1510822753102
16894	17669209715127873156	1510589840327
16801	2182947650154642645	1510974581223
49351	10774328411696530679	1510593095163
27143.5	3466459549991665781	1510819623300
79651	13726412478823118429	1510726978485
19801	8011150738581174399	1511167140283
67351	3966690687916047399	1510590076460
19351	1912463483328917317	1511174605419
18481	7859616727584176033	1510816118363
40351	6845852845117858902	1511063289265
17600.5	15960580971173655080	1511152068379
1.0482e+06	16612677512523520041	1510921541157
90682	17612090453451536111	1510595257417
104851	3799741802347861775	1511082037314
20851	8518823837030961070	1510646621270
52480	3098254183394010773	1510810192318
7351	14039730893000160001	1510813045173
163351	7909106534562659042	1510905473118
16114	5541785058786243300	1510620027355
14251	14787443547149945023	1511247575289
61651	310922182279624334	1510588910316
18997	6486522340763526015	1511157239252
5986	15656976932197220160	1510723944296
513457	15946802960206110633	1510728625473
31351	8759267961996475068	1510706752488
31711	6770111507316883957	1510588994148
5851	6142027128594912702	1511158016340
110851	253002325764393670	1511145719165
89251	27480571758261585	1511080198155
83851	1471955992893761453	1511139137305
85501	7623750906251007772	1510900806347
67351	18098928898277992302	1511162669170
103051	2756152169789822031	1511170698429
113851	16720357233763209418	1510732507411
29851	5757172016044987087	1510910715158
10351	9187922923020233424	1510589083212
23851	1720287454613831659	1510653801382
43351	11235224183727083913	1510725074129
17011	2739633305706420321	1510791611141
43351	7948064149474937697	1511064128433
50401	6301100326420375235	1510753550295
16465	17051825218167220926	1510991020422
139351	11470179273766626615	1510925995101
660451	17753703728067557022	1510723257400
10351	717881217482695587	1510908146424
11851	758729939599509219	1510590232272
22891	4445397262786207025	1511156284406
43801	3785686466895305611	1510828065285
9601	3221803368586854462	1510892131469
74851	12932393784942154075	1511240910271
23851	3802772046397752652	1511144656475
28201	5068913501833162340	1510829021473
23851	184510312348192541	1510625748425
12751	17710816073161536900	1510632340281
21821.5	893898762591587107	1510985444456
65851	6458409191097301265	1510810919210
3421	7844257594105286161	1511078084118
11851	7827638840732136635	1511058948306
1.89e+06	6182233018620217052	1511223829455
839851	3633984054002496932	1511163950174
52351	3855100719703633275	1511183161299
241351	351659333438975807	1510634077312
53318.5	17066165418518787637	1511149055245
14581	17015275429795622527	1510732813239
